Timestamp,Temperature (C),Humidity (%)
2023-04-02 17:08:14,25.3,59.8
2023-04-02 17:08:17,25.3,59.9
2023-04-02 17:08:19,25.3,59.8
2023-04-02 17:08:22,25.3,59.6
2023-04-02 17:08:24,25.3,59.5
2023-04-02 17:08:27,25.3,59.5
2023-04-02 17:08:29,25.3,59.6
